slovo,emocia,vyskyty
zločinecký,-2,3657
smrteľne,-2,3591
sprostý,-2,3545
rasistický,-2,3544
týraný,-2,3524
divný,-2,3485
násilne,-2,3480
bezchybný,2,3477
hnusný,-2,3432
pekelný,-2,3408
umierajúci,-2,3322
kruto,-2,3305
senzačný,2,3289
katastrofálne,-2,3268
chorobný,-2,3266
neľudský,-2,3233
hrôzostrašný,-2,3224
vrúcne,2,3214
honosný,2,3204
chaotický,-2,3191
katastrofický,-2,3191
rekordne,2,3186
prekrásne,2,3161
brutálne,-2,3147
prevratný,2,3073
bezohľadný,-2,3013
elegantne,2,2991
hrozivo,-2,2902
zázračne,2,2887
blažený,2,2872
otrasný,-2,2857
likvidačný,-2,2851
ponižujúci,-2,2850
mafiánsky,-2,2847
mafiánsky,-2,2847
barbarský,-2,2810
ctihodný,2,2797
čestne,2,2689
väznený,-2,2632
majestátny,2,2606
znamenitý,2,2587
fatálny,-2,2586
zvrátený,-2,2542
prvotriedny,2,2504
bezcenný,-2,2501
ohromujúci,2,2491
úchvatný,2,2476
báječný,2,2438
hlúpo,-2,2426
otrávený,-2,2417
hanebný,-2,2415
zdrvujúci,-2,2410
rajský,2,2383
zlovestný,-2,2369
rozkošný,2,2366
dekoratívny,2,2336
dutý,-2,2303
hodnoverný,2,2278
všemocný,2,2262
očarujúci,2,2253
vzorový,2,2253
hysterický,-2,2249
rozzúrený,-2,2244
ponížený,-2,2234
depresívny,-2,2230
zhrozený,-2,2226
ohromne,2,2220
zdevastovaný,-2,2208
neodolateľný,2,2203
anjelský,2,2181
podlý,-2,2134
utešený,2,2129
bezočivý,-2,2117
neoceniteľný,2,2113
biedne,-2,2097
ohromený,2,2082
havarovaný,-2,2042
ohavný,-2,2021
deformovaný,-2,2003
frustrovaný,-2,1945
dotieravý,-2,1936
zbabelý,-2,1910
očarený,2,1902
žiariaci,2,1872
zakrvavený,-2,1864
blbý,-2,1855
archaický,-2,1853
deštruktívny,-2,1851
utrápený,-2,1843
mučivý,-2,1795
bezchybne,2,1791
zneužitý,-2,1767
nenásytný,-2,1766
chladnokrvne,-2,1762
bezduchý,-2,1759
láskyplný,2,1744
násilnícky,-2,1724
násilnícky,-2,1724
stiesnený,-2,1684
príšerne,-2,1677
zničujúci,-2,1676
majstrovsky,2,1673
dráždivý,-2,1667
podradný,-2,1654
bezcitný,-2,1640
priekopnícky,2,1596
priekopnícky,2,1596
nenávidený,-2,1572
nezameniteľný,2,1554
plnohodnotne,2,1541
nenávistný,-2,1535
triumfálny,2,1518
besný,-2,1514
neakceptovateľný,-2,1498
odstrašujúci,-2,1488
zomierajúci,-2,1470
rozžiarený,2,1466
antisemitský,-2,1460
úmorný,-2,1457
obdivuhodne,2,1448
bujarý,2,1427
šialene,-2,1423
kúzelný,2,1421
dezolátny,-2,1413
jagavý,2,1402
bezútešný,-2,1395
egoistický,-2,1393
cnostný,2,1359
oslnivý,2,1339
krvilačný,-2,1334
pozoruhodne,2,1303
senzačne,2,1296
heroický,2,1291
znetvorený,-2,1275
hrdinsky,2,1275
rakovinový,-2,1266
dobrosrdečný,2,1259
neznesiteľne,-2,1256
apokalyptický,-2,1255
delikátny,2,1255
fatálne,-2,1226
chladnokrvný,-2,1208
bezohľadne,-2,1194
pomätený,-2,1189
fascinovaný,2,1175
prašivý,-2,1172
uctievaný,2,1165
majestátne,2,1141
krkolomný,-2,1134
skvelo,2,1131
pompézny,2,1114
bláznivo,-2,1113
erudovaný,2,1106
slastný,2,1106
zaslepený,-2,1105
otrocký,-2,1091
frustrujúci,-2,1068
zdeformovaný,-2,1057
okradnutý,-2,1046
apatický,-2,1044
odpudzujúci,-2,1035
mrzký,-2,1033
roztomilý,2,1016
legendárne,2,1012
páchnuci,-2,1009
búrlivo,-2,1009
dobitý,-2,1005
bezočivo,-2,1005
